,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
113,GFDL-ESM4,r3i1p1f1,2050.67,2042.381,8.288999999999987
114,GISS-E2-1-G,r1i1p1f2,2029.81,2026.233,3.576999999999998
115,GISS-E2-1-G,r1i1p3f1,2031.593,2026.989,4.604000000000042
116,GISS-E2-1-G,r2i1p3f1,2030.099,2026.932,3.1669999999999163
117,GISS-E2-1-G,r3i1p3f1,2029.029,2026.039,2.990000000000009
118,GISS-E2-1-G,r4i1p3f1,2029.209,2026.377,2.8320000000001073
119,GISS-E2-1-G,r5i1p3f1,2031.605,2030.13,1.474999999999909
120,HadGEM3-GC31-LL,r1i1p1f3,2032.521,2026.433,6.087999999999965
121,HadGEM3-GC31-LL,r2i1p1f3,2033.382,2028.136,5.246000000000095
122,HadGEM3-GC31-LL,r3i1p1f3,2025.465,2023.221,2.2439999999999145
123,HadGEM3-GC31-LL,r4i1p1f3,2025.434,2023.03,2.4039999999999964
124,HadGEM3-GC31-LL,r5i1p1f3,2026.791,2023.322,3.469000000000051
125,IITM-ESM,r1i1p1f1,2041.278,2036.615,4.663000000000011
126,INM-CM4-8,r1i1p1f1,2038.518,2030.8,7.718000000000075
127,INM-CM5-0,r1i1p1f1,2032.322,2028.893,3.42899999999986
128,IPSL-CM6A-LR,r1i1p1f1,2037.23,2032.544,4.685999999999922
129,IPSL-CM6A-LR,r2i1p1f1,2038.909,2034.502,4.407000000000153
130,IPSL-CM6A-LR,r3i1p1f1,2038.887,2033.808,5.078999999999951
131,IPSL-CM6A-LR,r4i1p1f1,2039.55,2032.575,6.974999999999909
132,IPSL-CM6A-LR,r5i1p1f1,2034.986,2030.557,4.429000000000087
133,IPSL-CM6A-LR,r6i1p1f1,2034.334,2030.91,3.423999999999978
134,KACE-1-0-G,r1i1p1f1,2032.486,2027.63,4.8559999999999945
135,KIOST-ESM,r1i1p1f1,2048.423,2036.127,12.295999999999822
136,MCM-UA-1-0,r1i1p1f2,2045.478,2035.088,10.3900000000001
137,MIROC-ES2L,r1i1p1f2,2035.47,2031.252,4.218000000000075
138,MIROC-ES2L,r2i1p1f2,2032.847,2027.905,4.942000000000007
139,MIROC6,r10i1p1f1,,2031.658,
140,MIROC6,r1i1p1f1,2028.533,2026.394,2.1389999999998963
141,MIROC6,r2i1p1f1,2032.415,2026.858,5.557000000000016
142,MIROC6,r3i1p1f1,2031.509,2026.963,4.546000000000049
143,MIROC6,r4i1p1f1,,,
144,MIROC6,r5i1p1f1,2031.837,2029.359,2.4780000000000655
145,MIROC6,r6i1p1f1,2031.859,2026.682,5.176999999999907
146,MIROC6,r7i1p1f1,2031.748,2029.918,1.8300000000001546
147,MIROC6,r8i1p1f1,,,
148,MIROC6,r9i1p1f1,2031.316,2028.776,2.5399999999999636
149,MPI-ESM1-2-HR,r1i1p1f1,2044.426,2040.146,4.279999999999973
150,MPI-ESM1-2-HR,r2i1p1f1,2047.552,2042.375,5.176999999999907
151,MPI-ESM1-2-LR,r10i1p1f1,2039.911,2034.737,5.173999999999978
152,MPI-ESM1-2-LR,r1i1p1f1,2040.876,2034.107,6.7690000000000055
153,MPI-ESM1-2-LR,r2i1p1f1,2045.952,2041.736,4.2159999999998945
154,MPI-ESM1-2-LR,r3i1p1f1,2041.219,2035.606,5.613000000000056
155,MPI-ESM1-2-LR,r4i1p1f1,2045.953,2042.068,3.884999999999991
156,MPI-ESM1-2-LR,r5i1p1f1,2047.792,2040.602,7.189999999999827
157,MPI-ESM1-2-LR,r6i1p1f1,2043.044,2037.894,5.150000000000091
158,MPI-ESM1-2-LR,r7i1p1f1,2042.504,2036.571,5.932999999999993
159,MPI-ESM1-2-LR,r8i1p1f1,2044.061,2035.4,8.66099999999983
160,MPI-ESM1-2-LR,r9i1p1f1,2041.213,2035.279,5.933999999999969
161,MRI-ESM2-0,r1i1p1f1,2030.414,2027.59,2.824000000000069
162,NESM3,r1i1p1f1,2037.883,2033.977,3.905999999999949
163,NESM3,r2i1p1f1,2033.277,2029.35,3.9270000000001346
164,NorESM2-LM,r1i1p1f1,2041.804,2040.272,1.5320000000001528
165,NorESM2-LM,r2i1p1f1,2024.15,2022.431,1.719000000000051
166,NorESM2-LM,r3i1p1f1,2025.867,2024.473,1.3940000000000055
167,NorESM2-MM,r1i1p1f1,2036.893,2033.645,3.2480000000000473
168,UKESM1-0-LL,r10i1p1f2,2029.58,2025.967,3.612999999999829
169,UKESM1-0-LL,r11i1p1f2,2024.494,2021.824,2.6699999999998454
170,UKESM1-0-LL,r12i1p1f2,2023.869,2022.204,1.6649999999999636
171,UKESM1-0-LL,r13i1p1f2,2024.233,2021.982,2.2509999999999764
172,UKESM1-0-LL,r16i1p1f2,2030.628,2026.542,4.086000000000013
173,UKESM1-0-LL,r17i1p1f2,2028.088,2024.132,3.9559999999999036
174,UKESM1-0-LL,r18i1p1f2,2031.906,2026.456,5.4500000000000455
175,UKESM1-0-LL,r19i1p1f2,2027.379,2024.628,2.7509999999999764
176,UKESM1-0-LL,r1i1p1f2,2027.156,2023.761,3.394999999999982
177,UKESM1-0-LL,r2i1p1f2,2024.806,2021.892,2.9139999999999873
178,UKESM1-0-LL,r3i1p1f2,2029.113,2024.995,4.1180000000001655
179,UKESM1-0-LL,r4i1p1f2,2025.2,2022.148,3.0520000000001346
180,UKESM1-0-LL,r8i1p1f2,2028.684,2025.343,3.3409999999998945
181,UKESM1-0-LL,r9i1p1f2,2024.786,2022.083,2.7029999999999745
