,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
122,MPI-ESM1-2-LR,r1i1p1f1,2051.271,2046.866,4.4050000000002
123,MPI-ESM1-2-LR,r2i1p1f1,2050.156,2041.018,9.13799999999992
124,MPI-ESM1-2-LR,r3i1p1f1,2052.505,2046.807,5.698000000000093
125,MPI-ESM1-2-LR,r4i1p1f1,2062.878,2057.777,5.101000000000113
126,MPI-ESM1-2-LR,r5i1p1f1,2056.939,2053.442,3.4969999999998436
127,MPI-ESM1-2-LR,r6i1p1f1,2054.774,2050.166,4.60799999999972
128,MPI-ESM1-2-LR,r7i1p1f1,2053.103,2047.292,5.811000000000149
129,MPI-ESM1-2-LR,r8i1p1f1,2055.479,2047.889,7.589999999999918
130,MPI-ESM1-2-LR,r9i1p1f1,2051.792,2047.962,3.8299999999999272
131,MRI-ESM2-0,r1i1p1f1,2048.81,2044.456,4.354000000000042
132,MRI-ESM2-0,r2i1p1f1,2046.454,2041.444,5.009999999999991
133,MRI-ESM2-0,r3i1p1f1,2044.599,2041.199,3.3999999999998636
134,MRI-ESM2-0,r4i1p1f1,2042.439,2036.132,6.307000000000016
135,MRI-ESM2-0,r5i1p1f1,2051.469,2046.198,5.270999999999958
136,NorESM2-LM,r1i1p1f1,2057.132,2053.593,3.5390000000002146
137,NorESM2-MM,r1i1p1f1,2049.133,2045.878,3.2549999999998818
138,TaiESM1,r1i1p1f1,2040.17,2037.523,2.647000000000162
139,UKESM1-0-LL,r10i1p1f2,2042.494,2038.457,4.036999999999807
140,UKESM1-0-LL,r11i1p1f2,2038.465,2034.355,4.1099999999999
141,UKESM1-0-LL,r12i1p1f2,2034.767,2031.52,3.247000000000071
142,UKESM1-0-LL,r16i1p1f2,2039.367,2034.632,4.7349999999999
143,UKESM1-0-LL,r17i1p1f2,2043.562,2037.686,5.875999999999976
144,UKESM1-0-LL,r18i1p1f2,2041.754,2038.148,3.6059999999999945
145,UKESM1-0-LL,r19i1p1f2,2038.227,2035.631,2.5960000000000036
146,UKESM1-0-LL,r1i1p1f2,2037.647,2033.52,4.126999999999953
147,UKESM1-0-LL,r2i1p1f2,2036.136,2033.463,2.673000000000002
148,UKESM1-0-LL,r3i1p1f2,2039.769,2036.441,3.3279999999999745
149,UKESM1-0-LL,r4i1p1f2,2035.22,2032.03,3.1900000000000546
150,UKESM1-0-LL,r8i1p1f2,2042.416,2037.998,4.417999999999893
151,UKESM1-0-LL,r9i1p1f2,2040.169,2036.45,3.719000000000051
152,UKESM1-1-LL,r1i1p1f2,2043.861,2040.492,3.369000000000142
