,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
135,TaiESM1,r1i1p1f1,2022.433,2020.597,1.8360000000000127
136,UKESM1-0-LL,r10i1p1f2,2029.961,2025.097,4.864000000000033
137,UKESM1-0-LL,r11i1p1f2,2022.588,2020.275,2.3129999999998745
138,UKESM1-0-LL,r12i1p1f2,2024.348,2022.101,2.2469999999998436
139,UKESM1-0-LL,r16i1p1f2,2027.913,2023.814,4.098999999999933
140,UKESM1-0-LL,r17i1p1f2,2029.156,2024.313,4.842999999999847
141,UKESM1-0-LL,r18i1p1f2,2033.028,2027.643,5.384999999999991
142,UKESM1-0-LL,r19i1p1f2,2027.359,2024.238,3.120999999999867
143,UKESM1-0-LL,r1i1p1f2,2027.137,2023.669,3.467999999999847
144,UKESM1-0-LL,r2i1p1f2,2024.187,2021.195,2.991999999999962
145,UKESM1-0-LL,r3i1p1f2,2027.563,2024.073,3.490000000000009
146,UKESM1-0-LL,r4i1p1f2,2029.532,2025.348,4.183999999999969
147,UKESM1-0-LL,r8i1p1f2,2028.749,2024.517,4.231999999999971
148,UKESM1-0-LL,r9i1p1f2,2022.305,2020.214,2.091000000000122
149,UKESM1-1-LL,r1i1p1f2,2030.861,2026.931,3.9300000000000637
