,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
5604,2030,ssp245,NorESM2-LM,1.2585833413030432,1.2320311248156897
5605,2031,ssp245,NorESM2-LM,1.2175472304765758,1.186470153915358
5606,2032,ssp245,NorESM2-LM,1.2199087265146615,1.178677987377212
5607,2033,ssp245,NorESM2-LM,1.2511925628298581,1.201532105058643
5608,2034,ssp245,NorESM2-LM,1.2661951531094406,1.2078118648405676
5609,2035,ssp245,NorESM2-LM,1.2926163578720768,1.2189881714556319
5610,2036,ssp245,NorESM2-LM,1.4211442391496714,1.3405012350482486
5611,2037,ssp245,NorESM2-LM,1.4663378751070848,1.3813643386685748
5612,2038,ssp245,NorESM2-LM,1.4625092232163586,1.3760182093697968
5613,2039,ssp245,NorESM2-LM,1.4503912541378656,1.3644744386120087
5614,2040,ssp245,NorESM2-LM,1.430019079464312,1.3367912358087746
5615,2041,ssp245,NorESM2-LM,1.4318445401072417,1.342293604509135
5616,2042,ssp245,NorESM2-LM,1.5015255817402073,1.4225125403513847
5617,2043,ssp245,NorESM2-LM,1.4911991747402866,1.4140875011132448
5618,2044,ssp245,NorESM2-LM,1.4981206737360273,1.4207534375244002
5619,2045,ssp245,NorESM2-LM,1.5505426646350415,1.484434783349732
5620,2046,ssp245,NorESM2-LM,1.6024692951692725,1.534477655285737
5621,2047,ssp245,NorESM2-LM,1.6348870737355021,1.5618429315485205
5622,2048,ssp245,NorESM2-LM,1.6779691762051858,1.6078603193302956
5623,2049,ssp245,NorESM2-LM,1.7485109240993058,1.6765615114944787
5624,2050,ssp245,NorESM2-LM,1.8135267642682404,1.7387109907687222
5625,2051,ssp245,NorESM2-LM,1.763958356871695,1.6863110147923455
5626,2052,ssp245,NorESM2-LM,1.6727612856807064,1.595781523213447
5627,2053,ssp245,NorESM2-LM,1.679409146166675,1.6030076897968701
5628,2054,ssp245,NorESM2-LM,1.677910326818844,1.6098228831025794
5629,2055,ssp245,NorESM2-LM,1.6885566231141347,1.619920558420731
5630,2056,ssp245,NorESM2-LM,1.731830690909621,1.6634803382608792
5631,2057,ssp245,NorESM2-LM,1.8053158632412813,1.7322954052497799
5632,2058,ssp245,NorESM2-LM,1.8660106816294495,1.78772679692444
5633,2059,ssp245,NorESM2-LM,1.9087009381254423,1.829398121749474
5634,2060,ssp245,NorESM2-LM,1.9118451067165687,1.8318344904990227
5635,2061,ssp245,NorESM2-LM,1.9212164944299257,1.851341622287352
5636,2062,ssp245,NorESM2-LM,1.8856036908596505,1.8092523753030154
