,arctic_trend,world_trend,AA,Ensemble_member,Model,No_arctic_crossing_year,World_crossing_year,gap
60,0.06981406412911663,0.022294862058673977,3.1313969983481,r25i1p1f1,CanESM5,2039.437,2032.679,6.757999999999811
61,0.08175696134523373,0.02579171289445851,3.169892658149109,r25i1p2f1,CanESM5,2035.414,2030.544,4.869999999999891
62,0.07668877541717846,0.022942595085670647,3.3426373577536697,r2i1p1f1,CanESM5,2036.731,2030.621,6.1099999999999
63,0.08539497181401187,0.026601868686138484,3.2101117715278735,r2i1p2f1,CanESM5,2033.629,2028.088,5.54099999999994
64,0.07849919467250417,0.026112126217695587,3.0062352647218393,r3i1p1f1,CanESM5,2036.335,2031.62,4.7150000000001455
65,0.06575663433931422,0.024610498941250204,2.6718935888413893,r3i1p2f1,CanESM5,2036.757,2030.955,5.802000000000135
66,0.0773797684789874,0.02136925029582426,3.621080169298597,r4i1p1f1,CanESM5,2044.255,2037.338,6.917000000000144
67,0.09445713565183401,0.024967444098112242,3.783212061300892,r4i1p2f1,CanESM5,2038.344,2032.037,6.307000000000016
68,0.05702668889448111,0.0226865081345177,2.5136829588910845,r5i1p1f1,CanESM5,2035.731,2030.57,5.161000000000058
69,0.05467345706726931,0.020566072942838787,2.6584296000130103,r5i1p2f1,CanESM5,2040.336,2035.259,5.076999999999998
70,0.07123597106293623,0.023064177828488748,3.088597893784271,r6i1p1f1,CanESM5,2037.906,2031.898,6.008000000000038
71,0.0686337130998887,0.02673360977509974,2.5673193286383498,r6i1p2f1,CanESM5,2035.92,2030.964,4.956000000000131
72,0.06606090009035724,0.021716475414865353,3.0419715367410523,r7i1p1f1,CanESM5,2037.493,2032.472,5.020999999999958
73,0.07552163036148384,0.023849603729376376,3.1665779951077866,r7i1p2f1,CanESM5,2039.035,2032.025,7.009999999999991
74,0.06936723460266084,0.022361821678048927,3.102038626430597,r8i1p1f1,CanESM5,2042.204,2035.6,6.604000000000042
