,Unnamed: 0,arctic_trend,world_trend,AA,trend_period,Model,Experiment,Ensemble_member,Months,No_arctic_crossing_year,World_crossing_year,gap
64,0,0.0769806267929947,0.0226163814492885,3.403755236690013,2015_2065,MIROC6,ssp245,r3i1p1f1,all,2053.924,2044.025,9.898999999999887
65,0,0.0737384126382006,0.0216906370765579,3.399550339528432,2015_2065,MIROC6,ssp245,r2i1p1f1,all,2048.288,2041.485,6.803000000000111
66,0,0.0961048154448386,0.0232677242188793,4.130391719481507,2015_2065,MIROC6,ssp245,r1i1p1f1,all,2044.376,2039.673,4.7029999999999745
67,0,0.0683001684933288,0.0239782289800768,2.8484242330857104,2015_2065,MIROC6,ssp245,r10i1p1f1,all,,,
68,0,0.0741787283491458,0.0247627966795511,2.995571514359757,2015_2065,MIROC-ES2L,ssp245,r2i1p1f2,all,2047.645,2044.158,3.48700000000008
69,0,0.0833964560984859,0.02423291671987,3.441453501554939,2015_2065,MIROC-ES2L,ssp245,r1i1p1f2,all,2055.22,2049.865,5.355000000000018
70,0,0.0466338965036198,0.0219200629712181,2.127452670407556,2015_2065,KIOST-ESM,ssp245,r1i1p1f1,all,2080.761,2063.953,16.807999999999993
71,0,0.0984025635870334,0.0337829203195701,2.9127903288464307,2015_2065,IPSL-CM6A-LR,ssp245,r6i1p1f1,all,2056.037,2048.009,8.027999999999793
72,0,0.1088482417456165,0.036198421150311,3.0069886554894976,2015_2065,IPSL-CM6A-LR,ssp245,r5i1p1f1,all,2055.47,2046.965,8.504999999999882
73,0,0.0871796869476456,0.0312119538320135,2.7931505799623118,2015_2065,IPSL-CM6A-LR,ssp245,r4i1p1f1,all,2061.33,2055.88,5.449999999999818
74,0,0.0978111826348629,0.0340123600334063,2.875754065251408,2015_2065,IPSL-CM6A-LR,ssp245,r3i1p1f1,all,2058.002,2048.819,9.182999999999993
75,0,0.0754448606741374,0.0311127399427319,2.4248864231503267,2015_2065,IPSL-CM6A-LR,ssp245,r2i1p1f1,all,2060.453,2050.517,9.93600000000015
76,0,0.0998679265501271,0.0347351737043976,2.8751238557210224,2015_2065,IPSL-CM6A-LR,ssp245,r25i1p1f1,all,,,
77,0,0.0735382577197044,0.0321934985682975,2.2842580331458957,2015_2065,IPSL-CM6A-LR,ssp245,r22i1p1f1,all,,,
78,0,0.0869376949810873,0.0338117587404553,2.571226644802348,2015_2065,IPSL-CM6A-LR,ssp245,r1i1p1f1,all,2054.32,2048.675,5.644999999999982
79,0,0.1011284212828761,0.0359041046556843,2.816625626865906,2015_2065,IPSL-CM6A-LR,ssp245,r14i1p1f1,all,,,
80,0,0.0851114457764777,0.0335987129038815,2.53317578027357,2015_2065,IPSL-CM6A-LR,ssp245,r11i1p1f1,all,,,
81,0,0.0977847911437712,0.0357458164681136,2.735559033348647,2015_2065,IPSL-CM6A-LR,ssp245,r10i1p1f1,all,,,
82,0,0.0287215905255503,0.0169614043968484,1.6933497871725172,2015_2065,INM-CM5-0,ssp245,r1i1p1f1,all,2066.014,2060.261,5.753000000000156
83,0,0.0649053237719683,0.0225409195042827,2.8794443704763864,2015_2065,INM-CM4-8,ssp245,r1i1p1f1,all,2058.916,2050.208,8.708000000000084
84,0,0.07674972187382,0.0278860663072834,2.75226061030251,2015_2065,FIO-ESM-2-0,ssp245,r1i1p1f1,all,2070.413,2057.141,13.271999999999935
85,0,0.0476938714051603,0.0218509126488292,2.1826947080727903,2015_2065,EC-Earth3-Veg-LR,ssp245,r1i1p1f1,all,2067.646,2063.891,3.755000000000109
86,0,0.0563538707215014,0.0277190128576892,2.0330403182402264,2015_2065,EC-Earth3-Veg,ssp245,r5i1p1f1,all,2070.866,2065.947,4.918999999999869
87,0,0.0738899208860495,0.0272479816495186,2.7117575839733714,2015_2065,EC-Earth3-Veg,ssp245,r1i1p1f1,all,2075.527,2065.659,9.867999999999938
88,0,0.0625032139774457,0.0233369656231376,2.6782922418789736,2015_2065,EC-Earth3-CC,ssp245,r1i1p1f1,all,2078.686,2071.246,7.440000000000055
89,0,0.0643182280830889,0.0262249445616922,2.4525591629673404,2015_2065,EC-Earth3,ssp245,r9i1p1f1,all,2059.678,2055.911,3.7669999999998254
